"No.","Time","Source","Destination","Protocol","Length","Info"
"853","6.105082883","128.135.24.73","206.123.170.175","TCP","2974","443  >  41816 [PSH, ACK] Seq=236320 Ack=4628 Win=64128 Len=2920 [TCP segment of a reassembled PDU]"
"854","6.105105147","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4757 Ack=236320 Win=390912 Len=0"
"855","6.105113215","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4757 Ack=239240 Win=396800 Len=0"
"856","6.106026245","128.135.24.73","206.123.170.175","TLSv1.2","2974","Application Data"
"857","6.106027182","128.135.24.73","206.123.170.175","TCP","2974","443  >  41816 [PSH, ACK] Seq=242160 Ack=4628 Win=64128 Len=2920 [TCP segment of a reassembled PDU]"
"858","6.106027244","128.135.24.73","206.123.170.175","TCP","2974","443  >  41816 [ACK] Seq=245080 Ack=4628 Win=64128 Len=2920 [TCP segment of a reassembled PDU]"
"859","6.106063668","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4757 Ack=242160 Win=402688 Len=0"
"860","6.106072850","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4757 Ack=245080 Win=408448 Len=0"
"861","6.106079560","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4757 Ack=248000 Win=414336 Len=0"
"862","6.106109155","128.135.24.73","206.123.170.175","TCP","1514","443  >  41816 [PSH, ACK] Seq=248000 Ack=4628 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"863","6.106109207","128.135.24.73","206.123.170.175","TCP","4434","443  >  41816 [PSH, ACK] Seq=249460 Ack=4628 Win=64128 Len=4380 [TCP segment of a reassembled PDU]"
"864","6.106109271","128.135.24.73","206.123.170.175","TLSv1.2","2974","Application Data"
"865","6.106127194","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4757 Ack=253840 Win=425984 Len=0"
"866","6.106134042","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4757 Ack=256760 Win=431872 Len=0"
"867","6.106147623","128.135.24.73","206.123.170.175","TCP","1514","443  >  41816 [PSH, ACK] Seq=256760 Ack=4628 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"868","6.106147671","128.135.24.73","206.123.170.175","TCP","4434","443  >  41816 [PSH, ACK] Seq=258220 Ack=4628 Win=64128 Len=4380 [TCP segment of a reassembled PDU]"
"869","6.106159173","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4757 Ack=262600 Win=443520 Len=0"
"870","6.106197435","128.135.24.73","206.123.170.175","TCP","4434","443  >  41816 [PSH, ACK] Seq=262600 Ack=4628 Win=64128 Len=4380 [TCP segment of a reassembled PDU]"
"871","6.106197485","128.135.24.73","206.123.170.175","TCP","1514","443  >  41816 [ACK] Seq=266980 Ack=4628 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"872","6.106206768","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4757 Ack=266980 Win=452224 Len=0"
"873","6.106249218","128.135.24.73","206.123.170.175","TCP","2974","443  >  41816 [PSH, ACK] Seq=268440 Ack=4628 Win=64128 Len=2920 [TCP segment of a reassembled PDU]"
"874","6.106249266","128.135.24.73","206.123.170.175","TLSv1.2","2974","Application Data"
"875","6.106258075","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4757 Ack=271360 Win=461056 Len=0"
"876","6.106262403","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4757 Ack=274280 Win=466816 Len=0"
"877","6.106376066","128.135.24.73","206.123.170.175","TCP","4434","443  >  41816 [PSH, ACK] Seq=274280 Ack=4628 Win=64128 Len=4380 [TCP segment of a reassembled PDU]"
"878","6.106384007","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4757 Ack=278660 Win=475648 Len=0"
"879","6.107265816","128.135.24.73","206.123.170.175","TCP","4434","443  >  41816 [PSH, ACK] Seq=278660 Ack=4628 Win=64128 Len=4380 [TCP segment of a reassembled PDU]"
"880","6.107265876","128.135.24.73","206.123.170.175","TCP","2974","443  >  41816 [ACK] Seq=283040 Ack=4628 Win=64128 Len=2920 [TCP segment of a reassembled PDU]"
"881","6.107298329","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4757 Ack=283040 Win=484352 Len=0"
"882","6.107307651","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4757 Ack=285960 Win=490240 Len=0"
"883","6.107379043","128.135.24.73","206.123.170.175","TCP","1514","443  >  41816 [PSH, ACK] Seq=285960 Ack=4628 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"884","6.110333472","128.135.24.73","206.123.170.175","TLSv1.2","4434","Application Data, Application Data"
"885","6.110333742","128.135.24.73","206.123.170.175","TCP","2974","443  >  41816 [ACK] Seq=291800 Ack=4628 Win=64128 Len=2920 [TCP segment of a reassembled PDU]"
"886","6.110382971","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4757 Ack=291800 Win=501888 Len=0"
"887","6.110395343","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4757 Ack=294720 Win=507776 Len=0"
"888","6.110476647","128.135.24.73","206.123.170.175","TCP","1514","443  >  41816 [PSH, ACK] Seq=294720 Ack=4628 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"889","6.110476734","128.135.24.73","206.123.170.175","TCP","4434","443  >  41816 [PSH, ACK] Seq=296180 Ack=4628 Win=64128 Len=4380 [TCP segment of a reassembled PDU]"
"890","6.110476814","128.135.24.73","206.123.170.175","TCP","1514","443  >  41816 [ACK] Seq=300560 Ack=4628 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"891","6.110496253","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4757 Ack=300560 Win=519424 Len=0"
"892","6.110571841","128.135.24.73","206.123.170.175","TCP","2974","443  >  41816 [PSH, ACK] Seq=302020 Ack=4628 Win=64128 Len=2920 [TCP segment of a reassembled PDU]"
"893","6.110580909","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4757 Ack=304940 Win=528256 Len=0"
"894","6.111138625","206.123.170.175","128.135.24.73","TLSv1.2","177","Application Data"
"895","6.157189125","128.135.24.73","206.123.170.175","TLSv1.2","1514","Application Data"
"896","6.157189635","128.135.24.73","206.123.170.175","TCP","4434","443  >  41816 [PSH, ACK] Seq=306400 Ack=4757 Win=64128 Len=4380 [TCP segment of a reassembled PDU]"
"897","6.157189723","128.135.24.73","206.123.170.175","TCP","2974","443  >  41816 [ACK] Seq=310780 Ack=4757 Win=64128 Len=2920 [TCP segment of a reassembled PDU]"
"898","6.157282312","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4880 Ack=310780 Win=539904 Len=0"
"899","6.157293410","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4880 Ack=313700 Win=545664 Len=0"
"900","6.157311763","128.135.24.73","206.123.170.175","TCP","1514","443  >  41816 [PSH, ACK] Seq=313700 Ack=4757 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"901","6.157311821","128.135.24.73","206.123.170.175","TCP","4434","443  >  41816 [PSH, ACK] Seq=315160 Ack=4757 Win=64128 Len=4380 [TCP segment of a reassembled PDU]"
"902","6.157311879","128.135.24.73","206.123.170.175","TLSv1.2","4434","Application Data"
"903","6.157311931","128.135.24.73","206.123.170.175","TCP","4434","443  >  41816 [PSH, ACK] Seq=323920 Ack=4757 Win=64128 Len=4380 [TCP segment of a reassembled PDU]"
"904","6.157339029","128.135.24.73","206.123.170.175","TCP","2974","443  >  41816 [ACK] Seq=328300 Ack=4757 Win=64128 Len=2920 [TCP segment of a reassembled PDU]"
"905","6.157362990","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4880 Ack=328300 Win=574976 Len=0"
"906","6.157365468","128.135.24.73","206.123.170.175","TCP","1514","443  >  41816 [PSH, ACK] Seq=331220 Ack=4757 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"907","6.157365526","128.135.24.73","206.123.170.175","TCP","4434","443  >  41816 [PSH, ACK] Seq=332680 Ack=4757 Win=64128 Len=4380 [TCP segment of a reassembled PDU]"
"908","6.157381489","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4880 Ack=332680 Win=583680 Len=0"
"909","6.157388609","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4880 Ack=337060 Win=592384 Len=0"
"910","6.163283713","128.135.24.73","206.123.170.175","TLSv1.2","7354","Application Data"
"911","6.163337749","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4880 Ack=344360 Win=606976 Len=0"
"912","6.163542342","128.135.24.73","206.123.170.175","TCP","5894","443  >  41816 [PSH, ACK] Seq=344360 Ack=4757 Win=64128 Len=5840 [TCP segment of a reassembled PDU]"
"913","6.163542445","128.135.24.73","206.123.170.175","TLSv1.2","5894","Application Data, Application Data"
"914","6.163572531","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4880 Ack=350200 Win=618752 Len=0"
"915","6.163583680","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4880 Ack=356040 Win=630400 Len=0"
"916","6.163591909","128.135.24.73","206.123.170.175","TCP","5894","443  >  41816 [PSH, ACK] Seq=356040 Ack=4757 Win=64128 Len=5840 [TCP segment of a reassembled PDU]"
"917","6.163591976","128.135.24.73","206.123.170.175","TCP","5894","443  >  41816 [PSH, ACK] Seq=361880 Ack=4757 Win=64128 Len=5840 [TCP segment of a reassembled PDU]"
"918","6.163603331","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4880 Ack=361880 Win=642048 Len=0"
"919","6.163610291","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4880 Ack=367720 Win=653696 Len=0"
"920","6.163643160","128.135.24.73","206.123.170.175","TCP","2974","443  >  41816 [PSH, ACK] Seq=367720 Ack=4757 Win=64128 Len=2920 [TCP segment of a reassembled PDU]"
"921","6.163643229","128.135.24.73","206.123.170.175","TLSv1.2","5894","Application Data"
"922","6.163643332","128.135.24.73","206.123.170.175","TCP","5894","443  >  41816 [PSH, ACK] Seq=376480 Ack=4757 Win=64128 Len=5840 [TCP segment of a reassembled PDU]"
"923","6.163658984","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4880 Ack=370640 Win=659584 Len=0"
"924","6.163667020","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4880 Ack=376480 Win=671232 Len=0"
"925","6.163684831","128.135.24.73","206.123.170.175","TLSv1.2","5894","Application Data"
"926","6.163696803","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4880 Ack=382320 Win=683008 Len=0"
"927","6.163709036","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4880 Ack=388160 Win=694656 Len=0"
"928","6.163814747","128.135.24.73","206.123.170.175","TCP","5894","443  >  41816 [PSH, ACK] Seq=388160 Ack=4757 Win=64128 Len=5840 [TCP segment of a reassembled PDU]"
"929","6.163814793","128.135.24.73","206.123.170.175","TCP","5894","443  >  41816 [PSH, ACK] Seq=394000 Ack=4757 Win=64128 Len=5840 [TCP segment of a reassembled PDU]"
"930","6.163828919","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4880 Ack=394000 Win=706304 Len=0"
"931","6.163835664","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4880 Ack=399840 Win=717952 Len=0"
"932","6.163851264","128.135.24.73","206.123.170.175","TCP","2974","443  >  41816 [PSH, ACK] Seq=399840 Ack=4757 Win=64128 Len=2920 [TCP segment of a reassembled PDU]"
"933","6.163851347","128.135.24.73","206.123.170.175","TLSv1.2","5894","Application Data"
"934","6.163851426","128.135.24.73","206.123.170.175","TCP","1514","443  >  41816 [ACK] Seq=408600 Ack=4757 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"935","6.163864223","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4880 Ack=402760 Win=723840 Len=0"
"936","6.163870693","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4880 Ack=408600 Win=735488 Len=0"
"937","6.164062280","128.135.24.73","206.123.170.175","TCP","4434","443  >  41816 [PSH, ACK] Seq=410060 Ack=4757 Win=64128 Len=4380 [TCP segment of a reassembled PDU]"
"938","6.164062336","128.135.24.73","206.123.170.175","TLSv1.2","7354","Application Data, Application Data"
"939","6.164078613","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4880 Ack=414440 Win=747136 Len=0"
"940","6.164085875","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4880 Ack=421740 Win=761856 Len=0"
"941","6.164112097","128.135.24.73","206.123.170.175","TCP","7354","443  >  41816 [PSH, ACK] Seq=421740 Ack=4757 Win=64128 Len=7300 [TCP segment of a reassembled PDU]"
"942","6.164112142","128.135.24.73","206.123.170.175","TCP","5894","443  >  41816 [PSH, ACK] Seq=429040 Ack=4757 Win=64128 Len=5840 [TCP segment of a reassembled PDU]"
"943","6.164123772","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4880 Ack=429040 Win=776448 Len=0"
"944","6.164129434","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4880 Ack=434880 Win=788096 Len=0"
"945","6.164142120","128.135.24.73","206.123.170.175","TLSv1.2","7354","Application Data"
"946","6.164142203","128.135.24.73","206.123.170.175","TCP","4434","443  >  41816 [ACK] Seq=442180 Ack=4757 Win=64128 Len=4380 [TCP segment of a reassembled PDU]"
"947","6.164152716","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4880 Ack=442180 Win=802688 Len=0"
"948","6.164158737","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4880 Ack=446560 Win=811392 Len=0"
"949","6.164323207","128.135.24.73","206.123.170.175","TCP","2974","443  >  41816 [PSH, ACK] Seq=446560 Ack=4757 Win=64128 Len=2920 [TCP segment of a reassembled PDU]"
"950","6.164323316","128.135.24.73","206.123.170.175","TLSv1.2","7354","Application Data"
"951","6.164323400","128.135.24.73","206.123.170.175","TCP","7354","443  >  41816 [PSH, ACK] Seq=456780 Ack=4757 Win=64128 Len=7300 [TCP segment of a reassembled PDU]"
"952","6.164344931","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4880 Ack=449480 Win=817280 Len=0"
"953","6.164352669","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4880 Ack=456780 Win=831872 Len=0"
"954","6.164359376","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4880 Ack=464080 Win=846464 Len=0"
"955","6.164376894","128.135.24.73","206.123.170.175","TCP","2974","443  >  41816 [PSH, ACK] Seq=464080 Ack=4757 Win=64128 Len=2920 [TCP segment of a reassembled PDU]"
"956","6.164376975","128.135.24.73","206.123.170.175","TLSv1.2","7354","Application Data"
"957","6.164377056","128.135.24.73","206.123.170.175","TCP","1514","443  >  41816 [ACK] Seq=474300 Ack=4757 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"958","6.164390530","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4880 Ack=467000 Win=852352 Len=0"
"959","6.164396763","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4880 Ack=474300 Win=866944 Len=0"
"960","6.164673234","128.135.24.73","206.123.170.175","TCP","5894","443  >  41816 [PSH, ACK] Seq=475760 Ack=4757 Win=64128 Len=5840 [TCP segment of a reassembled PDU]"
"961","6.164673329","128.135.24.73","206.123.170.175","TLSv1.2","7354","Application Data, Application Data"
"962","6.164691832","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4880 Ack=481600 Win=881536 Len=0"
"963","6.164698662","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4880 Ack=488900 Win=896128 Len=0"
"964","6.165383078","128.135.24.73","206.123.170.175","TCP","5894","443  >  41816 [ACK] Seq=488900 Ack=4757 Win=64128 Len=5840 [TCP segment of a reassembled PDU]"
"965","6.165410105","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4880 Ack=494740 Win=907776 Len=0"
"966","6.165681965","128.135.24.73","206.123.170.175","TCP","1514","443  >  41816 [PSH, ACK] Seq=494740 Ack=4757 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"967","6.165682011","128.135.24.73","206.123.170.175","TCP","2974","443  >  41816 [PSH, ACK] Seq=496200 Ack=4757 Win=64128 Len=2920 [TCP segment of a reassembled PDU]"
"968","6.165682075","128.135.24.73","206.123.170.175","TLSv1.2","7354","Application Data"
"969","6.165708691","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4880 Ack=499120 Win=916608 Len=0"
"970","6.165716032","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4880 Ack=506420 Win=931200 Len=0"
"971","6.165740298","128.135.24.73","206.123.170.175","TCP","8814","443  >  41816 [PSH, ACK] Seq=506420 Ack=4757 Win=64128 Len=8760 [TCP segment of a reassembled PDU]"
"972","6.165740362","128.135.24.73","206.123.170.175","TLSv1.2","8814","Application Data"
"973","6.165754336","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4880 Ack=515180 Win=948736 Len=0"
"974","6.165761730","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4880 Ack=523940 Win=966144 Len=0"
"975","6.165770401","128.135.24.73","206.123.170.175","TCP","7354","443  >  41816 [PSH, ACK] Seq=523940 Ack=4757 Win=64128 Len=7300 [TCP segment of a reassembled PDU]"
"976","6.165770462","128.135.24.73","206.123.170.175","TLSv1.2","8814","Application Data"
"977","6.165783606","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4880 Ack=531240 Win=980736 Len=0"
"978","6.165790006","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4880 Ack=540000 Win=998272 Len=0"
"979","6.165812410","128.135.24.73","206.123.170.175","TCP","5894","443  >  41816 [ACK] Seq=540000 Ack=4757 Win=64128 Len=5840 [TCP segment of a reassembled PDU]"
"980","6.165837912","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4880 Ack=545840 Win=1010048 Len=0"
"981","6.165960772","128.135.24.73","206.123.170.175","TCP","2974","443  >  41816 [PSH, ACK] Seq=545840 Ack=4757 Win=64128 Len=2920 [TCP segment of a reassembled PDU]"
"982","6.165960837","128.135.24.73","206.123.170.175","TLSv1.2","8814","Application Data, Application Data"
"983","6.165976438","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4880 Ack=548760 Win=1015808 Len=0"
"984","6.165985698","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4880 Ack=557520 Win=1033344 Len=0"
"985","6.166001524","128.135.24.73","206.123.170.175","TCP","7354","443  >  41816 [ACK] Seq=557520 Ack=4757 Win=64128 Len=7300 [TCP segment of a reassembled PDU]"
"986","6.166011701","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4880 Ack=564820 Win=1047936 Len=0"
"987","6.166302006","128.135.24.73","206.123.170.175","TCP","1514","443  >  41816 [PSH, ACK] Seq=564820 Ack=4757 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"988","6.166639193","128.135.24.73","206.123.170.175","TLSv1.2","5894","Application Data"
"989","6.166660105","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4880 Ack=572120 Win=1062528 Len=0"
"990","6.166833190","128.135.24.73","206.123.170.175","TCP","2974","443  >  41816 [PSH, ACK] Seq=572120 Ack=4757 Win=64128 Len=2920 [TCP segment of a reassembled PDU]"
"991","6.166833329","128.135.24.73","206.123.170.175","TLSv1.2","8814","Application Data"
"992","6.166851796","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4880 Ack=575040 Win=1068416 Len=0"
"993","6.166860477","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4880 Ack=583800 Win=1085952 Len=0"
"994","6.169773483","128.135.24.73","206.123.170.175","TCP","5894","443  >  41816 [ACK] Seq=583800 Ack=4757 Win=64128 Len=5840 [TCP segment of a reassembled PDU]"
"995","6.169818351","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4880 Ack=589640 Win=1097600 Len=0"
"996","6.170020856","128.135.24.73","206.123.170.175","TCP","2974","443  >  41816 [PSH, ACK] Seq=589640 Ack=4757 Win=64128 Len=2920 [TCP segment of a reassembled PDU]"
"997","6.170020941","128.135.24.73","206.123.170.175","TLSv1.2","2974","Application Data"
"998","6.170021038","128.135.24.73","206.123.170.175","TCP","8814","443  >  41816 [PSH, ACK] Seq=595480 Ack=4757 Win=64128 Len=8760 [TCP segment of a reassembled PDU]"
"999","6.170048414","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4880 Ack=592560 Win=1103488 Len=0"
"1000","6.170059881","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4880 Ack=595480 Win=1109248 Len=0"
"1001","6.170085491","128.135.24.73","206.123.170.175","TLSv1.2","10274","Application Data, Application Data"
"1002","6.170085564","128.135.24.73","206.123.170.175","TCP","10274","443  >  41816 [PSH, ACK] Seq=614460 Ack=4757 Win=64128 Len=10220 [TCP segment of a reassembled PDU]"
"1003","6.170092434","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4880 Ack=604240 Win=1126784 Len=0"
"1004","6.170107455","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4880 Ack=624680 Win=1167616 Len=0"
"1005","6.170374271","128.135.24.73","206.123.170.175","TCP","1514","443  >  41816 [ACK] Seq=624680 Ack=4757 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"1006","6.197587410","206.123.170.175","128.135.24.73","TLSv1.2","151","Application Data"
"1007","6.209420468","206.123.170.175","128.135.24.73","TLSv1.2","151","Application Data"
"1008","6.212140994","206.123.170.175","128.135.24.73","TLSv1.2","97","Application Data"
"1009","6.212167776","206.123.170.175","128.135.24.73","TLSv1.2","140","Application Data, Application Data"
"1010","6.212261372","206.123.170.175","128.135.24.73","TLSv1.2","245","Application Data, Application Data, Application Data"
"1011","6.212897995","206.123.170.175","128.135.24.73","TLSv1.2","171","Application Data"
"1012","6.213147802","128.135.24.73","206.123.170.175","TCP","60","443  >  41816 [ACK] Seq=626140 Ack=4880 Win=64128 Len=0"
"1013","6.213268091","206.123.170.175","128.135.24.73","TLSv1.2","153","Application Data"
"1014","6.213467431","206.123.170.175","128.135.24.73","TLSv1.2","153","Application Data"
"1015","6.213569972","206.123.170.175","128.135.24.73","TLSv1.2","153","Application Data"
"1016","6.215135953","206.123.170.175","128.135.24.73","TLSv1.2","150","Application Data"
"1017","6.215242152","206.123.170.175","128.135.24.73","TLSv1.2","153","Application Data"
"1018","6.216636251","128.135.24.73","206.123.170.175","TLSv1.2","7354","Application Data"
"1019","6.216688952","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=6003 Ack=633440 Win=1185152 Len=0"
"1020","6.216736225","128.135.24.73","206.123.170.175","TCP","2974","443  >  41816 [PSH, ACK] Seq=633440 Ack=4880 Win=64128 Len=2920 [TCP segment of a reassembled PDU]"
"1021","6.216736284","128.135.24.73","206.123.170.175","TLSv1.2","8814","Application Data, Application Data, Application Data"
"1022","6.216753904","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=6003 Ack=636360 Win=1191040 Len=0"
"1023","6.216760228","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=6003 Ack=645120 Win=1208576 Len=0"
"1024","6.216777561","128.135.24.73","206.123.170.175","TCP","1514","443  >  41816 [PSH, ACK] Seq=645120 Ack=4880 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"1025","6.216777607","128.135.24.73","206.123.170.175","TCP","4434","443  >  41816 [ACK] Seq=646580 Ack=4880 Win=64128 Len=4380 [TCP segment of a reassembled PDU]"
"1026","6.216786047","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=6003 Ack=650960 Win=1220224 Len=0"
"1027","6.217059361","128.135.24.73","206.123.170.175","TCP","5894","443  >  41816 [PSH, ACK] Seq=650960 Ack=4880 Win=64128 Len=5840 [TCP segment of a reassembled PDU]"
"1028","6.217059401","128.135.24.73","206.123.170.175","TLSv1.2","10274","Application Data"
"1029","6.217143602","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=6003 Ack=656800 Win=1231872 Len=0"
"1030","6.217162332","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=6003 Ack=667020 Win=1252352 Len=0"
"1031","6.217244352","128.135.24.73","206.123.170.175","TCP","10274","443  >  41816 [PSH, ACK] Seq=667020 Ack=4880 Win=64128 Len=10220 [TCP segment of a reassembled PDU]"
"1032","6.217244467","128.135.24.73","206.123.170.175","TLSv1.2","10274","Application Data, Application Data"
"1033","6.217287722","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=6003 Ack=677240 Win=1272832 Len=0"
"1034","6.217296132","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=6003 Ack=687460 Win=1293184 Len=0"
"1035","6.217329823","128.135.24.73","206.123.170.175","TCP","2974","443  >  41816 [PSH, ACK] Seq=687460 Ack=4880 Win=64128 Len=2920 [TCP segment of a reassembled PDU]"
"1036","6.217340783","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=6003 Ack=690380 Win=1299072 Len=0"
"1037","6.223267640","128.135.24.73","206.123.170.175","TLSv1.2","7706","Application Data, Application Data"
"1038","6.223324932","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=6003 Ack=698032 Win=1314432 Len=0"
"1039","6.251807249","206.123.170.175","128.135.24.73","TLSv1.2","270","Application Data"
"1040","6.252784958","206.123.170.175","128.135.24.73","TLSv1.2","165","Application Data"
"1041","6.253530145","206.123.170.175","128.135.24.73","TLSv1.2","164","Application Data"
"1042","6.253663914","206.123.170.175","128.135.24.73","TLSv1.2","163","Application Data"
"1043","6.256979405","128.135.24.73","206.123.170.175","TCP","60","443  >  41816 [ACK] Seq=698032 Ack=4977 Win=64128 Len=0"
"1044","6.257643296","128.135.24.73","206.123.170.175","TCP","5894","443  >  41816 [ACK] Seq=698032 Ack=4977 Win=64128 Len=5840 [TCP segment of a reassembled PDU]"
"1045","6.257686189","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=6549 Ack=703872 Win=1326080 Len=0"
"1046","6.257815385","128.135.24.73","206.123.170.175","TLSv1.2","10371","Application Data"
"1047","6.257834947","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=6549 Ack=714189 Win=1346688 Len=0"
"1048","6.269186020","128.135.24.73","206.123.170.175","TLSv1.2","5075","Application Data"
"1049","6.269256843","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=6549 Ack=719210 Win=1356672 Len=0"
